"outbreak","total_cases","n_days_full","n_days_growth_phase","cases_growth_phase","r_nb","se_nb","ci_low_nb","ci_high_nb","doubling_nb","nb_alpha","overdisp_p","r_poisson","se_poisson","ci_low_poisson","ci_high_poisson","note"
"Angola 2005",440,17,1,132,,,,,,,,,,,,"aggregate surveillance (irregular reporting; new cases per report); growth phase < 3 days"
"Belgrade 1967",2,11,11,2,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"DRC 1999",127,757,173,67,0.0065,0.0027,0.0012,0.0117,107.2,0.2969,0.1612,0.0064,0.0025,0.0015,0.0113,""
"Frankfurt 1967",6,18,1,3,,,,,,,,,,,,"growth phase < 3 days"
"Guinea 2021",1,1,1,1,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Kenya 1980",2,17,17,2,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Kenya 1987",1,1,1,1,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Marburg 1967",24,96,18,19,0.0885,0.0543,-0.0179,0.1949,7.8,0.3161,0.202,0.0886,0.047,-0.0036,0.1808,""
"South Africa 1975",3,17,17,3,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Uganda (ND) 2008",1,1,1,1,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Uganda (US) 2008",1,1,1,1,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Uganda 2007",4,97,97,4,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Uganda 2012",26,103,92,22,0.0163,0.0085,-3e-04,0.0329,42.5,3e-04,0.5,0.0163,0.0085,-3e-04,0.0329,""
"Uganda 2014",1,1,1,1,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Uganda 2017",3,34,34,3,,,,,,,,,,,,"point-source / no growth phase: peak daily incidence <= 1"
"Tanzania 2023",9,44,12,6,0.2795,0.151,-0.0164,0.5753,2.5,4e-04,0.5,0.2795,0.1509,-0.0164,0.5753,"all cases; r inflated by 9-day gap between index case (onset 27 Feb) and cluster"
"Tanzania 2023 (excl. index)",8,35,3,5,0,0.5477,-1.0735,1.0735,4087982180770150,0,0.5,0,0.5477,-1.0735,1.0735,"index case (onset 27 Feb) dropped; post-introduction human-to-human phase"
"Rwanda 2024",66,49,26,50,0.1226,0.0295,0.0648,0.1804,5.7,0.3086,0.0477,0.1201,0.0234,0.0743,0.1658,"66 lab-confirmed cases by onset, digitized from NEJM Fig 1 (Nsanzimana 2025); 2 probable Aug cases excluded"
