mu,shape
10.783524,6.068703
9.930626,4.201487
12.031292,9.513372
11.8032675,8.865701
11.300672,3.4332929
11.144503,6.944002
12.260298,5.746549
11.290293,6.59235
11.460206,5.432115
9.565136,4.977803
9.679935,4.343918
11.683388,10.232092
13.119967,5.855896
12.799322,5.7872047
10.421352,5.9393663
12.161213,5.452975
11.657211,4.289071
10.584198,4.9864054
13.772886,3.7255208
11.092884,3.815094
12.576399,7.793274
12.83597,9.049144
10.556018,4.916432
10.59538,6.0431037
11.668562,4.1007247
11.71179,9.283564
11.997402,5.9658957
11.343378,6.9147987
9.886848,6.5250874
11.547209,7.0749507
12.505072,6.333866
12.79978,4.834812
11.123787,5.8077583
9.938772,5.5156984
11.312344,4.231827
10.3102045,5.2325716
10.690588,6.454138
10.38307,5.1734085
10.704721,3.6569066
11.43503,4.1439886
10.498386,6.888791
10.451061,5.329964
10.238186,4.4574275
11.495354,4.165887
11.056236,5.463978
11.070717,7.2151065
10.229116,4.617309
12.96596,3.6436038
10.372999,7.941486
11.106587,5.908119
11.411402,5.5873494
10.760342,5.3756247
10.830545,5.6063175
11.095953,4.338615
12.23277,5.282696
12.559041,6.9938664
9.9585705,5.7997255
12.409048,5.830687
11.974512,5.3176355
11.531137,7.8608046
10.238781,10.886987
12.257053,6.366729
10.238532,6.5236444
12.621092,6.6818595
11.425596,6.230795
10.807331,7.1739864
10.326284,4.3324943
9.1712475,4.941798
12.309096,5.6514683
12.901431,8.017399
9.490362,7.8900695
11.657406,10.214653
10.351787,8.299426
10.642782,4.7679048
10.590829,4.1164284
12.428327,6.098464
10.991764,7.8046722
11.859579,9.563784
11.79773,5.1449113
13.255971,6.7840743
10.200228,6.2370853
12.291117,10.566014
11.848204,4.2138643
12.149656,4.194101
10.0294285,6.203934
10.430418,10.439513
11.542987,4.731783
10.2452545,2.7258625
10.331785,6.95508
11.665989,2.2518263
10.6975155,5.8566084
12.260731,7.5643277
12.873968,3.5814695
11.123256,6.2504525
9.91661,5.754964
12.298155,4.0202303
10.802969,5.289153
11.483433,7.0792828
11.409679,4.233575
9.709652,4.878554
10.750916,5.4718995
11.8062935,4.9939575
11.40041,8.936038
11.012169,6.0480075
11.6623125,5.811445
11.223213,7.1994896
11.333046,5.8198757
10.367033,6.210366
10.970753,5.40371
11.181052,6.077447
11.116133,3.8220346
12.003795,7.8990984
11.850822,5.353509
12.02578,6.9147835
12.651111,7.035557
11.256982,10.129965
11.242362,7.7969613
11.877259,4.770508
10.074139,5.73252
9.521471,4.6464095
11.714792,5.883239
10.846771,5.1933503
12.167847,4.5751114
10.5208845,6.1821413
12.457901,5.9926987
11.178568,7.6072507
12.692976,11.800426
10.308666,5.599619
9.4112425,7.651598
12.367126,6.2407527
12.495537,4.7076397
10.806576,6.8248754
11.314777,8.583298
10.502855,4.25969
10.668091,3.1649768
10.301283,3.913546
11.329138,4.852772
12.655682,4.930942
10.722548,3.370399
11.343195,7.1056604
13.601767,2.6811347
12.195676,5.979825
11.876967,6.3510957
12.934265,4.2315307
11.058926,4.7550926
10.773421,7.1446805
11.027486,5.8482556
10.334606,6.769791
12.692671,5.795581
9.605767,3.763097
12.149567,10.358502
10.684157,7.7100363
11.845343,4.8669043
11.855673,4.437879
10.633986,6.469637
12.083707,6.1509995
12.458614,3.2675805
9.942799,6.5953197
9.393224,3.9328997
12.909403,3.2167792
12.143575,10.138006
9.889611,7.981606
12.470567,5.731386
11.856007,8.099887
10.900048,6.3192606
9.395168,4.587591
12.89716,5.8141556
11.577952,7.7920456
11.512793,7.2611465
12.361465,7.397808
10.068711,5.373518
13.402137,5.1721687
12.232257,3.6412168
10.150123,5.914093
11.570173,4.876485
